 id |                                      name                                      
----+--------------------------------------------------------------------------------
  1 | на базе среднего профессионального образования
  2 | на базе среднего (полного) образования
  3 | на базе высшего технического образования
  4 | на базе бакалавра
  5 | на базе бакалавра менеджмента
  6 | на базе высшего образования
  0 | Нет базы
  9 | второе высшее
 10 | на базе средне-технического и среднего специального экономического образования
 11 | на базе специального образования
 13 | на базе высшего образования, кроме технического
 12 | на базе высшего инженерно-технического образования
 14 | на базе среднего профессионального образования (профильного экономического)
 16 | на базе среднего профессионального образования (повышенный уровень)
 17 | на базе бакалавра экономики
 18 | на базе высшего профессионального образования
 15 | на базе бакалавра и специалиста
 19 | на базе высшего технического профессионального образования
 20 | на базе высшего профессионального образования(кроме технического)
(19 rows)

