 idkvalif |                                                                 kvalifname                                                                                                 
----------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        2 | математик-программист
        3 | бакалавр прикладной математики и информатики
        4 | магистр прикладной математики и информатики
        1 | информатик-экономист
        5 | инженер
        6 | экономист-менеджер
        7 | Специалист по защите информации
        8 | экономист
        9 | менаджер
       10 | менеджер
       11 | бакалавр
       12 | Юрист
       13 | бакалавр юриспруденции
       14 | бакалавр менеджмента
       15 | математик, системный программист
       17 | инженер-программист
       18 | бакалавр, юрист
       19 | педагог профессионального обучения
       20 | тест
       22 | менеджер
       23 | бухгалтер
       24 | бакалавр техники и технологии
       26 |  профессиональная переподготовка для ведения нового вида профессиональной деятельности в сфере экономики и менеджмента
       27 | бакалавр, магистр юриспруденции
       28 | магистр менеджмента
       29 | магистр юриспруденции
       30 | магистр экономики
       31 | право на ведение профессиональной деятельности в сфере технической эксплуатации автомобилей
       33 | кандидат наук
       32 | право на ведение профессиональной деятельности в сфере организации пассажирских перевозок автомобильным транспортом
       34 | бакалавр экономики
       35 | профессиональная переподготовка с присвоением квалификации "экономист-менеджер инвестиционной и лизинговой деятельности"
       36 | профессиональная переподготовка для ведения нового вида профессиональной деятельности в сфере экономики и менеджмента инвестиционных лизинговых процессов
       37 | профессиональная переподготовка для ведения нового вида профессиональной деятельности в сфере экономики, менеджмента инвестиций и маркетинга на основе лизинговых механизмов
       38 | профессиональная переподготовка с присвоением дополнительной квалификации "экономист-менеджер информационного и нормативно-правового обеспечения систем открытого дистанционного образования"
       39 | профессиональная переподготовка для ведения нового вида профессиональной деятельности в сфере экономики, организации и управления подразделениями системы открытого дистанционного образования
       40 | профессиональная переподготовка для ведения профессиональной деятельности в сфере экономики и управления инвестициями на основе межгосударственного лизинга продукции сельскохозяйственного машиностроения
       41 | профессиональная переподготовка для ведения профессиональной деятельности в сфере экономики и менеджмента инвестиций на основе лизинговых механизмов
       42 | дополнительная квалификация: "Преподаватель высшей школы"
       25 | бакалавр техники и технологии
       16 | магистр техники и технологии
       21 | бакалавр, магистр техники и технологии
       43 | физик
       44 | бакалавр информационных систем
       45 | преподаватель
       47 | магистр
       46 | специалист
(47 rows)

