 idtp | idspec |    idspcion    |                                                       namespcion                                                       | idotdel | base | yearentrance | srok | month1 |                                                 tpnote                                                  
------+--------+----------------+------------------------------------------------------------------------------------------------------------------------+---------+------+--------------+------+--------+---------------------------------------------------------------------------------------------------------
  953 |      3 |                |                                                                                                                        |       1 |    0 |         2010 |    4 |        | 
  260 |     10 | 11             | Производственный менеджмент                                                                                            |       2 |    1 |         2005 |    4 |        | 
  705 |     19 |                |                                                                                                                        |       1 |    0 |         2003 |    5 |        | (филиал в г.Рославле)
  894 |      6 |                | Корпоративные информационные системы                                                                                   |       1 |    0 |         2009 |    5 |        | 
  895 |      9 |                |                                                                                                                        |       1 |    0 |         2009 |    5 |        | 
  934 |      6 |                | Корпоративные информационные системы                                                                                   |       1 |    0 |         2008 |    5 |        | 
 1018 |     11 | 02             | Гражданско-правовая                                                                                                    |       3 |    0 |         2008 |    6 |        | 
  791 |     19 |                |                                                                                                                        |       1 |    0 |         2004 |  5.5 |        | (филиал в г. Кинешме)
  877 |     17 | 14             | Фирменный автосервис                                                                                                   |       1 |    0 |         2008 |    5 |        | 
  852 |      9 |                |                                                                                                                        |       1 |    0 |         2010 |    5 |        | 
  785 |      6 | 07             | Производственный менеджмент                                                                                            |       1 |    0 |         2005 |  5.5 |        | (филиал в г. Кинешме)
  786 |      6 | 07             | Производственный менеджмент                                                                                            |       1 |    0 |         2006 |  5.5 |        | (филиал в г. Кинешме)
  787 |     13 | 08             | Управление финансами на предприятии                                                                                    |       1 |    0 |         2004 |  5.5 |        | (филиал в г. Кинешме)
 1024 |     10 | 11             | Производственный менеджмент                                                                                            |       2 |    2 |         2007 |  5.5 |        | (филиал в г.Вязьме)
 1028 |     10 | 11             | Производственный менеджмент                                                                                            |       2 |    2 |         2007 |  5.5 |        | (филиал в г.Вязьме)
  753 |     13 | 01             | Организация производства                                                                                               |       1 |    0 |         2005 |    5 |        | (филиал в г. Сергиев Посад МО)
  623 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |   20 |         2007 |  3.5 |        | 
  646 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       2 |    2 |         2002 |  5.5 |        | (филиал в городе Киров)
  742 |     13 | 08             | Управление финансами на предприятии                                                                                    |       1 |    0 |         2003 |  5.5 |        | (филиал в г. Кинешме)
  743 |      6 | 07             | Производственный менеджмент                                                                                            |       1 |    0 |         2003 |  5.5 |        | (филиал в г. Кинешме)
  744 |     19 |                |                                                                                                                        |       1 |    0 |         2003 |  5.5 |        | (филиал в г. Кинешме)
  745 |     17 | 14             | Фирменный автосервис                                                                                                   |       1 |    0 |         2003 |  5.5 |        | (филиал в г. Кинешме)
  746 |     10 | 11             | Производственный менеджмент                                                                                            |       2 |    2 |         2004 |  5.5 |        | (филиал в г. Вязьме)
  749 |     15 |                |                                                                                                                        |       2 |    2 |         2004 |    4 |        | (филиал в г. Вязьме)
  750 |     15 |                |                                                                                                                        |       2 |    1 |         2005 |    3 |        | (филиал в г. Вязьме)
  752 |     11 |                | Гражданско-правовая                                                                                                    |       1 |    2 |         2004 |    5 |        | (филиал в г. Сергиев Посад МО)
 1038 |     10 | 11             | Производственный менеджмент                                                                                            |       2 |    1 |         2007 |    4 |        | (филиал в г.Вязьме)
  712 |     10 | 11             | Производственный менеджмент                                                                                            |       2 |    2 |         2008 |  5.5 |        | 
  716 |     78 | 08             | Управление финансами на предприятии                                                                                    |       2 |    1 |         2006 |    4 |        | (филиал в городе Киров)
  603 |     11 | 02             | Гражданско-правовая                                                                                                    |       2 |    2 |         2007 |    5 |      7 | 
 1045 |      6 |                | Корпоративные информационные системы                                                                                   |       2 |    6 |         2007 |  3.5 |        | (филиал в г.Вязьме)
  175 |     10 | 11             | Производственный менеджмент                                                                                            |       2 |    6 |         2000 |  3.5 |        | 
  228 |     13 | 08             | Управление финансами на предприятии                                                                                    |       2 |    6 |         2004 |  3.5 |        | 
  229 |     13 | 08             | Управление финансами на предприятии                                                                                    |       2 |    2 |         2004 |  5.5 |        | 
  255 |     50 |                |                                                                                                                        |       1 |    0 |         2004 |    5 |        | (филиал в городе Сергиев Посад МО)
  943 |     51 |                |                                                                                                                        |       3 |    1 |         2010 |    4 |        | 
  664 |     78 | 08             | Управление финансами на предприятии                                                                                    |       2 |    2 |         2008 |  5.5 |        | (филиал в городе Киров)
  688 |     10 | 11             | Производственный менеджмент                                                                                            |       1 |    0 |         2002 |    5 |        | (филиал в г. Вязьме)
  789 |     17 | 14             | Фирменный автосервис                                                                                                   |       1 |    0 |         2005 |  5.5 |        | (филиал в г. Кинешме)
  790 |     17 | 14             | Фирменный автосервис                                                                                                   |       1 |    0 |         2006 |  5.5 |        | (филиал в г. Кинешме)
  956 |     13 | 03             | Организация предпринимательской деятельности                                                                           |       3 |    0 |         2010 |    6 |        | 
  859 |      6 |                | Корпоративные информационные системы                                                                                   |       1 |    0 |         2010 |    5 |        | 
  259 |     13 | 08             | Управление финансами на предприятии                                                                                    |       2 |    1 |         2005 |    4 |        | 
  839 |     19 |                |                                                                                                                        |       1 |    0 |         2009 |    5 |        | (филиал в г. Рославле)
  602 |     68 |                |                                                                                                                        |       1 |    0 |         2005 |    4 |        | 
  838 |     13 | 08             | Управление финансами на предприятии                                                                                    |       1 |    0 |         2009 |    5 |        | (филиал в г. Рославле)
  840 |     81 | 24             | Химическая физика                                                                                                      |       1 |    0 |         2006 |    5 |        | (филиал в г. Сергиев Посад МО)
  820 |     79 |                |                                                                                                                        |       1 |    0 |         2010 |    4 |        | 
  878 |     42 | 02             | Профессиональное обучение (фирменный автосервис)                                                                       |       1 |    0 |         2008 |    5 |        | 
 1039 |     10 | 11             | Производственный менеджмент                                                                                            |       2 |    1 |         2007 |    4 |        | (филиал в г.Вязьме)
 1041 |     10 | 11             | Производственный менеджмент                                                                                            |       2 |    6 |         2007 |  3.5 |        | (филиал в г.Вязьме)
  918 |     11 | 02             | Гражданско-правовая                                                                                                    |       3 |    0 |         2007 |    6 |        | 
  573 |     10 | 11             | Производственный менеджмент                                                                                            |       1 |    0 |         2008 |    5 |        | 
  994 |     13 | 01             | Организация производства                                                                                               |       3 |    0 |         2009 |    6 |        | Второе высшее для направления 140500
  696 |     19 |                |                                                                                                                        |       1 |    0 |         2007 |    5 |        | (филиал в г.Кинешме)
  665 |     81 | 24             | Химическая физика                                                                                                      |       1 |    0 |         2004 |    5 |        | (филиал в городе Сергиев Посад МО)
  861 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       1 |    0 |         2010 |    5 |        | 
  891 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       1 |    0 |         2009 |    5 |        | 
 1034 |     24 | 01             | Бухгалтерский учет, анализ и аудит в коммерческих организациях (кроме банков и других финансово-кредитных организаций) |       2 |    1 |         2007 |    4 |        | (филиал в г.Вязьме)
  698 |     13 |                |                                                                                                                        |       2 |    1 |         2002 |    4 |        | (филиал в г.Сергиев Посад)
  788 |     17 | 14             | Фирменный автосервис                                                                                                   |       1 |    0 |         2004 |  5.5 |        | (филиал в г. Кинешме)
 1046 |     17 | 14             | Фирменный автосервис                                                                                                   |       2 |    1 |         2007 |    4 |        | (филиал в г.Вязьме)
