 idspec | naprnew |                                 namenapr                                  | specnew |                                  namespec                                  |                  kvalifname                  
--------+---------+---------------------------------------------------------------------------+---------+----------------------------------------------------------------------------+----------------------------------------------
      1 | 030500  | Юриспруденция                                                             |         |                                                                            | бакалавр юриспруденции
      2 | 150200  | Машиностроительные технологии и оборудование                              |         |                                                                            | инженер
      3 | 140500  | Энергомашиностроение                                                      |         |                                                                            | бакалавр техники и технологии
      4 | 151000  | Конструкторско-технологическое обеспечение машиностроительных производств | 151002  | Металлообрабатывающие станки и комплексы                                   | инженер
      5 |         |                                                                           | 010503  | Математическое обеспечение и администрирование информационных систем       | математик-программист
      6 |         |                                                                           | 080801  | Прикладная информатика в экономике                                         | информатик-экономист
      7 | 150600  | Материаловедение, технологии материалов и покрытий                        | 150501  | Материаловедение в машиностроении                                          | инженер
      8 | 150200  | Машиностроительные технологии и оборудование                              | 150204  | Машины и технология литейного производства                                 | инженер
      9 |         |                                                                           | 090103  | Организация и технология защиты информации                                 | специалист по защите информации
     10 |         |                                                                           | 080507  | Менеджмент организации                                                     | менеджер
     11 |         |                                                                           | 030501  | Юриспруденция                                                              | юрист
     13 |         |                                                                           | 080502  | Экономика и управление на предприятии в  машиностроении                    | экономист-менеджер
     14 | 150200  | Машиностроительные технологии и оборудование                              | 150206  | Машины и технология высокоэффективных процессов обработки материалов       | инженер
     15 | 080500  | Менеджмент                                                                |         |                                                                            | бакалавр менеджмента
     16 | 140500  | Энергомашиностроение                                                      | 140501  | Двигатели внутреннего сгорания                                             | инженер
     17 | 190200  | Транспортные машины и транспортно-технологические комплексы               | 190201  | Автомобиле- и тракторостроение                                             | инженер
     19 | 151000  | Конструкторско-технологическое обеспечение машиностроительных производств | 151001  | Технология машиностроения                                                  | инженер
     20 | 220300  | Автоматизированные технологии и производства                              | 220301  | Автоматизация технологических процессов и производств в машиностроении     | инженер
     21 |         |                                                                           | 080502  | Экономика и управление на предприятиях машиностроения                      | экономист-менеджер
     23 |         |                                                                           | 230105  | Программное обеспечение вычислительной техники и автоматизированных систем | инженер
     24 |         |                                                                           | 080109  | Бухгалтерский учет, анализ и аудит                                         | экономист
     25 | 150200  | Машиностроительные технологии и оборудование                              | 150202  | Оборудование  и технология сварочного производства                         | инженер
     26 | 010500  | Прикладная математика и информатика                                       |         |                                                                            | бакалавр прикладной математики и информатики
     27 | 150200  | Машиностроительные технологии и оборудование                              | 150201  | Машины и технология обработки металлов давлением                           | инженер
     28 | 140500  | Энергомашиностроение                                                      |         |                                                                            | магистр техники и технологии
     30 |         |                                                                           | 230201  | Информационные системы в экономике                                         | информатик-экономист
     32 |         |                                                                           | 190201  | Автомобиле- и тракторостроение                                             | инженер
     34 |         |                                                                           | 151001  | Технология машиностроения                                                  | инженер
     41 | 030500  | Юриспруденция                                                             | 030501  | Юриспруденция                                                              | бакалавр, юрист
     42 |         |                                                                           | 050501  | Профессиональное обучение (автомобили и автомобильное хозяйство)           | педагог профессионального обучения
     43 |         |                                                                           | 090104  | Комплексная защита объектов информатизации                                 | специалист по защите информации
     44 | 220600  | Инноватика                                                                |         |                                                                            | инженер
     45 | 140500  | Энергомашиностроение                                                      |         |                                                                            | бакалавр, магистр техники и технологии
     46 |         |                                                                           | 050501  | Профессиональное обучение (машиностроение и технологическое оборудование)  | педагог профессионального обучения
     47 |         |                                                                           | 030503  | Правоведение                                                               | юрист
     48 |         |                                                                           | 080501  | Менеджмент                                                                 | менеджер
     49 |         |                                                                           | 080110  | Экономика и бухгалтерский учет                                             | бухгалтер
     50 |         |                                                                           | 010501  | Прикладная математика и информатика                                        | математик, системный программист
     51 |         |                                                                           | 080505  | Управление персоналом                                                      | менеджер
     52 |         |                                                                           | 080105  | Финансы и кредит                                                           | экономист
     53 | 150900  | Технология, оборудование и автоматизация машиностроительных производств   |         |                                                                            | бакалавр техники и технологии
     54 | 150600  | Материаловедение и технология новых материалов                            |         |                                                                            | бакалавр техники и технологии
     55 | 220200  | Автоматизация и управление                                                |         |                                                                            | бакалавр техники и технологии
     57 | 190100  | Наземные транспортные системы                                             |         |                                                                            | бакалавр техники и технологии
     58 |         |                                                                           | 140104  | Промышленная теплоэнергетика                                               | инженер
     59 | 140100  | Теплоэнергетика                                                           |         |                                                                            | бакалавр техники и технологии
     60 | 030500  | Юриспруденция                                                             |         |                                                                            | бакалавр, магистр юриспруденции
     61 | 080500  | Менеджмент                                                                |         |                                                                            | магистр менеджмента
     62 | 030500  | Юриспруденция                                                             |         |                                                                            | магистр юриспруденции
     63 |         |                                                                           | 050500  | Профессиональное обучение (машиностроение и технологическое оборудование)  | педагог профессионального обучения
     64 | 080100  | Экономика                                                                 |         |                                                                            | магистр экономики
     67 | 000001  | Подготовка аспирантов по отраслям                                         |         |                                                                            | кандидат наук
     68 | 080100  | Экономика                                                                 |         |                                                                            | бакалавр экономики
     77 |         |                                                                           | 010400  | Физика                                                                     | физик
     78 |         |                                                                           | 080502  | Экономика и управление на предприятии транспорта                           | экономист-менеджер
     79 | 230100  | Информатика и вычислительная техника                                      |         |                                                                            | бакалавр техники и технологии
     81 |         |                                                                           | 010701  | Физика                                                                     | физик
     83 |         |                                                                           | 030501  | Юриспруденция                                                              | преподаватель

