 idspec | naprnew |                                 namenapr                                  | specnew |                                namespec                                |                  kvalifname                  
--------+---------+---------------------------------------------------------------------------+---------+------------------------------------------------------------------------+----------------------------------------------
     55 | 220200  | Автоматизация и управление                                                |         |                                                                        | бакалавр техники и технологии
     54 | 150600  | Материаловедение и технология новых материалов                            |         |                                                                        | бакалавр техники и технологии
     57 | 190100  | Наземные транспортные системы                                             |         |                                                                        | бакалавр техники и технологии
     26 | 010500  | Прикладная математика и информатика                                       |         |                                                                        | бакалавр прикладной математики и информатики
     59 | 140100  | Теплоэнергетика                                                           |         |                                                                        | бакалавр техники и технологии
     44 | 220600  | Инноватика                                                                |         |                                                                        | инженер
     45 | 140500  | Энергомашиностроение                                                      |         |                                                                        | бакалавр, магистр техники и технологии
     15 | 080500  | Менеджмент                                                                |         |                                                                        | бакалавр менеджмента
     28 | 140500  | Энергомашиностроение                                                      |         |                                                                        | магистр техники и технологии
     16 | 140500  | Энергомашиностроение                                                      | 140501  | Двигатели внутреннего сгорания                                         | инженер
      2 | 150200  | Машиностроительные технологии и оборудование                              |         |                                                                        | инженер
     60 | 030500  | Юриспруденция                                                             |         |                                                                        | бакалавр, магистр юриспруденции
      3 | 140500  | Энергомашиностроение                                                      |         |                                                                        | бакалавр техники и технологии
     25 | 150200  | Машиностроительные технологии и оборудование                              | 150202  | Оборудование  и технология сварочного производства                     | инженер
     79 | 230100  | Информатика и вычислительная техника                                      |         |                                                                        | бакалавр техники и технологии
     62 | 030500  | Юриспруденция                                                             |         |                                                                        | магистр юриспруденции
      1 | 030500  | Юриспруденция                                                             |         |                                                                        | бакалавр юриспруденции
     53 | 150900  | Технология, оборудование и автоматизация машиностроительных производств   |         |                                                                        | бакалавр техники и технологии
      8 | 150200  | Машиностроительные технологии и оборудование                              | 150204  | Машины и технология литейного производства                             | инженер
     27 | 150200  | Машиностроительные технологии и оборудование                              | 150201  | Машины и технология обработки металлов давлением                       | инженер
     14 | 150200  | Машиностроительные технологии и оборудование                              | 150206  | Машины и технология высокоэффективных процессов обработки материалов   | инженер
      7 | 150600  | Материаловедение, технологии материалов и покрытий                        | 150501  | Материаловедение в машиностроении                                      | инженер
     17 | 190200  | Транспортные машины и транспортно-технологические комплексы               | 190201  | Автомобиле- и тракторостроение                                         | инженер
     19 | 151000  | Конструкторско-технологическое обеспечение машиностроительных производств | 151001  | Технология машиностроения                                              | инженер
      4 | 151000  | Конструкторско-технологическое обеспечение машиностроительных производств | 151002  | Металлообрабатывающие станки и комплексы                               | инженер
     20 | 220300  | Автоматизированные технологии и производства                              | 220301  | Автоматизация технологических процессов и производств в машиностроении | инженер
     61 | 080500  | Менеджмент                                                                |         |                                                                        | магистр менеджмента
     64 | 080100  | Экономика                                                                 |         |                                                                        | магистр экономики
     68 | 080100  | Экономика                                                                 |         |                                                                        | бакалавр экономики
     41 | 030500  | Юриспруденция                                                             | 030501  | Юриспруденция                                                          | бакалавр, юрист
(30 rows)

